UF Residência.Freqüência
TOTAL."16.281"
Rondônia."187.0"
Acre."62.0"
Amazonas."586.0"
Roraima."118.0"
Pará."966.0"
Amapá."93.0"
Tocantins."124.0"
Maranhão."577.0"
Piauí."195.0"
Ceará."625.0"
Rio Grande do Norte."295.0"
Paraíba."224.0"
Pernambuco."681.0"
Alagoas."302.0"
Sergipe."182.0"
Bahia."939.0"
Minas Gerais."1.029"
Espírito Santo."313.0"
Rio de Janeiro."1.804"
São Paulo."2.663"
Paraná."876.0"
Santa Catarina."812.0"
Rio Grande do Sul."1.206"
Mato Grosso do Sul."296.0"
Mato Grosso."345.0"
Goiás."577.0"
Distrito Federal."204.0"
