UF Residência;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Total
TOTAL;1;17;42;135;534;1121;2708;4356;6015;866;1153;1425;16433;18022;20792;2367;25921;28832;26477;36497;34936;39467;38287;38569;3843;37792;38865;41445;41451;41079;43098;42823;43666;42421;41323;39696;38893;38501;38288;30562;35424;36753;1107782
Rondônia;0;0;0;0;0;0;30;30;20;70;30;190;170;430;560;520;680;900;760;1400;1560;2000;2120;2110;2390;2940;3070;2970;2840;3110;3780;3830;4530;4250;3700;3300;3760;3370;3240;2770;3490;3770;7469
Acre;0;0;0;0;0;0;30;20;40;20;70;50;70;80;10;60;100;170;240;260;300;470;320;580;570;350;640;630;370;620;730;680;670;720;580;690;720;1040;770;470;1040;1180;1536
Amazonas;0;0;0;0;0;20;40;100;160;240;390;530;600;840;870;1140;1670;2140;2720;3030;3620;4440;4080;5560;6250;6800;7090;9490;1137;1167;1108;1101;1414;1544;1214;1204;108;1188;1422;1193;1678;1398;24030
Roraima;0;0;0;0;0;0;10;10;70;60;130;60;50;70;80;180;150;200;240;560;540;370;990;1110;720;760;1210;1650;1530;1690;1480;1370;1590;1460;1580;1830;1870;2420;2430;1330;1880;2310;3399
Pará;0;0;0;1;1;30;90;200;310;350;630;860;1160;1470;1770;2230;2400;2830;2850;3420;5280;6230;6930;9900;9220;9260;1119;1407;1393;1511;1404;1533;1877;1977;2191;2274;1993;2298;2399;1671;2135;2332;36258
Amapá;0;0;0;0;0;0;0;40;20;10;30;70;10;60;150;200;290;240;330;330;430;850;510;740;840;920;1160;1140;1170;1300;1640;1620;2030;1850;1460;2260;2440;2210;1960;1680;2170;2230;3439
Tocantins;0;0;0;0;0;0;10;0;0;60;80;60;130;180;210;250;320;470;480;610;640;850;870;1030;830;1180;910;1330;1580;1480;1930;2020;2600;2200;2300;2030;2500;2310;1750;1680;2210;2300;3939
Maranhão;0;0;0;0;6;20;80;110;280;570;680;800;1090;1240;1430;1880;1940;2750;2640;3420;3540;4030;4950;7290;6970;7330;7940;8790;1069;1092;1255;122;14;137;1522;1403;1496;1416;13;9050;1122;1333;24886
Piauí;0;0;0;0;0;20;90;140;120;200;330;280;290;660;760;760;930;970;1070;1720;1610;1900;1940;3330;3430;2700;3210;3400;4060;3860;3750;4810;4900;4900;4140;4230;4190;3930;4440;3340;4120;4410;8894
Ceará;0;1;2;0;6;90;130;300;560;700;1280;1720;1800;2140;2870;3010;3610;6050;5410;5680;6340;7560;8150;9740;8370;8550;1115;1124;1181;1128;1219;1377;131;1328;1378;1342;1276;1363;1403;1079;1137;13;28475
Rio Grande do Norte;0;0;1;1;0;30;140;100;210;280;510;320;700;890;720;1030;1330;1710;1300;1810;1730;1740;2050;1540;3670;2880;3590;3670;4140;3880;4310;4630;5580;5690;5030;5360;6730;7380;6120;4810;5870;6090;10759
Paraíba;0;0;0;0;6;30;130;110;180;440;620;630;890;1120;1170;1220;1480;1850;2350;2460;2440;3090;2990;3630;3610;3400;3700;4070;4260;4430;4480;5000;4840;5260;5650;4540;5580;5650;6080;4780;4850;5120;11219
Pernambuco;0;0;2;2;8;150;670;900;1650;1800;2220;2550;3110;3480;3930;5540;5820;7510;6630;7970;9360;1235;1158;1308;1698;1509;1617;1673;1608;1841;1791;1976;2055;2014;1883;1924;1866;1889;1853;1419;1626;1549;41833
Alagoas;0;0;0;0;0;0;0;0;0;310;360;580;730;730;820;1040;1340;1100;1320;1560;2190;2340;2610;2270;2970;2690;3250;4100;3890;3950;4510;4510;4500;4540;4490;5090;6200;6010;5650;5210;6070;6170;10310
Sergipe;0;0;0;0;0;0;80;170;150;190;250;440;470;790;810;780;1030;970;1040;1150;940;1280;1620;1620;1840;1980;2370;3180;2670;2820;3200;2730;3270;3130;3930;3750;3680;4020;3740;3810;4370;4140;7241
Bahia;0;0;0;2;4;210;410;760;1320;1520;2140;2780;3160;2990;3190;4680;5710;5440;6500;9730;9200;1346;1257;1388;1379;139;1551;1738;1838;1896;197;1983;216;1975;197;1937;1877;1943;2061;1652;1908;2037;43236
Minas Gerais;0;1;1;5;30;480;1080;1480;2320;3810;5150;5950;1002;1226;1413;1518;1714;1742;1746;2582;2187;3245;3017;3097;3137;2946;301;3108;2958;2889;3091;304;2944;2974;2975;2754;2679;2527;2435;1941;2228;2217;76406
Espírito Santo;0;1;0;1;4;80;190;330;500;570;850;1160;1650;2080;2050;2510;3520;4060;4010;5340;5490;7760;7360;7460;7230;6750;6860;7550;8200;8760;8330;9320;8530;8920;7930;6990;6550;6560;7350;6300;6560;7520;19324
Rio de Janeiro;0;4;7;26;109;2820;5960;8840;1141;1384;1603;2185;2254;2401;278;3415;3893;4086;369;465;4497;5737;535;5821;5479;5385;5267;5065;5609;5387;5522;5243;5242;5054;4798;4539;4424;4173;4049;3226;3843;4097;143197
São Paulo;1;8;24;85;323;5950;1529;2553;3439;5071;6596;8077;8793;9155;10256;11065;11168;12167;10564;15504;1396;11909;11409;10675;10742;9991;9077;9606;9461;9006;9408;8842;8508;8099;786;7778;7493;7204;675;5952;6314;6461;313478
Paraná;0;1;1;1;5;150;380;750;1030;1630;3040;4390;5610;6490;8450;1069;1326;1388;145;1728;1677;2254;2077;1841;1822;1809;1965;2804;2083;1981;2172;2176;2192;2154;2174;1909;1969;1972;1893;1438;1716;183;54069
Santa Catarina;0;0;0;1;1;90;250;540;900;2160;3090;3800;5300;6760;9100;1069;111;1397;1302;1713;182;2479;229;2184;1946;2303;211;2247;2308;2306;2702;2415;2379;2222;2438;2193;1986;1951;194;1487;1782;1881;57161
Rio Grande do Sul;0;1;3;5;15;720;990;1710;2620;4320;6400;6450;9480;111;136;1624;2029;2783;2524;3533;352;4344;4464;4051;4029;4337;514;4949;4743;4638;4764;4802;4773;4456;4012;3677;3437;3206;3269;2533;2786;2753;106939
Mato Grosso do Sul;0;0;0;2;1;60;100;190;270;600;920;1070;1920;1730;2090;2690;2720;2710;2460;2850;3030;4640;4500;4500;3960;4240;4390;5650;5160;5220;4910;6800;6830;5900;5550;5420;6590;6510;6830;4340;6250;6180;13981
Mato Grosso;0;0;0;2;5;80;190;170;250;480;670;870;870;1480;1740;2390;2720;2630;1830;3860;3560;5640;6030;6190;6010;5640;6720;6890;6570;6650;7530;6800;7000;8250;6810;7170;7730;7540;8860;6980;6760;7390;16902
Goiás;0;0;0;1;5;80;480;630;630;830;1400;2020;2320;3080;4370;3700;5370;4620;4440;6490;7530;8330;8120;8250;8060;7950;8230;7940;9080;9490;1003;1092;1066;9920;1071;1001;1019;1057;1132;9360;1157;1264;25140
Distrito Federal;0;0;1;0;5;100;230;400;740;830;2040;2250;2260;2510;2680;3290;3680;3370;3390;4220;3420;5660;6510;5190;5040;4900;4600;4790;5110;5110;6310;6110;6590;5550;5220;4950;4440;4190;4600;3800;4280;4200;14262
